id,score
as159,89.2053
as1590,89.51515
as1591,89.01437
as1592,89.49367
as1593,89.52475
as1594,89.14894
as1595,89.37255
as1596,89.50207
as1597,89.44112
as1598,89.01639
as1599,89.41176
as16,89.03084
as160,89.58506
as1600,89.74138
as1601,89.6
as1602,89.54023
as1603,89.10112
as1604,89.48052
as1605,89.41053
as1606,89.18182
as1607,89.61165
as1608,89.27273
as1609,89.33194
as161,89.59514
as1610,89.68504
as1611,89.35872
as1612,89.09278
as1613,89.38998
as1614,89.0495
as1615,89.83015
as1616,89.29825
as1617,89.30886
as1618,89.83229
as1619,89.36
as162,89.51613
as1620,89.66173
as1621,89.3456
as1622,89.82495
as1623,89.37255
as1624,89.23628
as1625,88.8641
as1626,89.55457
as1627,89.3456
as1628,89.1453
as1629,89.4926
as163,89.22246
as1630,89.60159
as1631,89.56616
as1632,89.73684
as1633,89.50515
as1634,89.44112
as1635,89.3361
as1636,89.18534
as1637,89.44444
as1638,89.32773
as1639,89.39655
as164,89.46463
as1640,89.74684
as1641,89.05325
as1642,89.25156
as1643,89.53125
as1644,89.83193
as1645,89.7619
as1646,89.61538
as1647,89.82721
as1648,89.26978
as1649,89.72477
as165,89.40426
as1650,89.43434
as1651,89.75
as1652,89.48052
as1653,89.65739
as1654,89.51807
as1655,89.35743
as1656,89.38998
as1657,89.2053
as1658,89.51318
as1659,89.11824
as166,89.18864
as1660,89.65591
as1661,89.68
as1662,89.12473
as1663,89.3736
as1664,89.46067
as1665,89.15789
as1666,89.43089
as1667,89.413
as1668,89.42505
as1669,89.16667
as167,89.15612
as1670,89.65591
as1671,89.3361
as1672,89.49686
as1673,89.59514
as1674,89.11111
as1675,89.55357
as1676,89.45631
as1677,89.29688
as1678,89.24211
as1679,89.6063
as168,89.27765
as1680,89.46548
as1681,89.66874
as1682,89.4958
as1683,89.32914
as1684,89.22179
as1685,89.36382
as1686,89.69349
as1687,89.30736
as1688,89.52096
as1689,88.98383
as169,89.33747
as1690,89.69754
as1691,89.30886
as1692,89.56989
as1693,89.02655
as1694,89.2638
as1695,89.48276
as1696,88.97839
as1697,89.08142
as1698,89.54128
as1699,89.22581
as17,89.18699
as170,89.3819
as1700,89.39655
as1701,89.41176
as1702,89.31183
as1703,89.42505
as1704,89.59432
as1705,89.49896
as1706,89.2389
as1707,89.74895
as1708,89.59184
as1709,89.66736
as171,89.42029
as1710,89.32203
as1711,89.5112
as1712,89.48387
as1713,89.2016
as1714,89.31478
as1715,89.2668
as1716,89.11111
as1717,89.38998
as1718,89.28889
as1719,89.49474
as172,88.97638
as1720,88.82619
as1721,89.58678
as1722,89.44112
as1723,89.07563
as1724,89.45701
as1725,89.02439
as1726,89.50104
as1727,89.73856
as1728,89.39525
as1729,89.08333
as173,89.68872
as1730,89.38865
as1731,89.04139
as1732,89.34827
as1733,89.91285
as1734,89.2638
as1735,89.52
as1736,89.32059
as1737,89.50207
as1738,89.14163
as1739,89.28144
as174,89.31559
as1740,89.42505
as1741,89.6748
as1742,89.52756
as1743,89.20792
as1744,89.75904
as1745,89.35614
as1746,89.41909
as1747,89.3722
as1748,89.35872
as1749,89.56332
as175,89.25
as1750,89.45824
as1751,89.73094
as1752,89.41788
as1753,89.51807
as1754,89.17864
as1755,89.5
as1756,89.4958
as1757,89.32059
as1758,89.20319
as1759,89.43662
as176,89.50104
as1760,89.21397
as1761,89.73451
as1762,89.46785
as1763,89.81221
as1764,89.5092
as1765,89.32203
as1766,89.36634
as1767,89.74194
as1768,89.19643
as1769,89.21053
as177,89.22179
as1770,89.24686
as1771,89.6008
as1772,89.13215
as1773,89.5092
as1774,89.40299
as1775,89.4499
as1776,89.47939
as1777,89.32773
as1778,89.26829
as1779,89.57983
as178,89.2389
as1780,89.56616
as1781,89.25466
as1782,89.58592
as1783,89.2389
as1784,89.54649
as1785,88.89126
as1786,89.41176
as1787,89.38053
as1788,89.53757
as1789,89.0184
as179,89.42149
as1790,88.68996
as1791,89.56522
as1792,89.46429
as1793,89.19679
as1794,89.3913
as1795,89.53271
as1796,89.51515
as1797,88.92784
as1798,89.3177
as1799,89.36255
as18,89.55457
as180,89.58848
as1800,89.60707
as1801,89.16143
as1802,89.57356
as1803,89.7463
as1804,89.32773
as1805,89.49896
as1806,89.46257
as1807,89.82759
as1808,89.56522
as1809,89.39394
as181,89.83229
as1810,89.74948
as1811,88.76652
as1812,89.0795
as1813,89.39785
as1814,89.4274
as1815,89.46548
as1816,89.4926
as1817,89.02439
as1818,89.17864
as1819,89.36
as182,89.34827
as1820,89.75359
as1821,89.66736
as1822,89.75359
as1823,89.74468
as1824,89.08714
as1825,89.66527
as1826,89.52475
as1827,89.34156
as1828,89.12854
as1829,88.778
as183,89.41176
as1830,89.13894
as1831,89.42387
as1832,89.32347
as1833,89.50311
as1834,89.2562
as1835,89.48387
as1836,89.48387
as1837,89.04573
as1838,89.07157
as1839,89.52569
as184,89.03614
as1840,89.18033
as1841,89.25773
as1842,89.53917
as1843,89.59184
as1844,89.29825
as1845,89.65591
as1846,89.02834
as1847,89.42974
as1848,89.25773
as1849,89.24706
as185,89.44664
as1850,89.58071
as1851,89.02655
as1852,89.60938
as1853,89.32203
as1854,89.42149
as1855,89.52475
as1856,89.59596
as1857,89.10751
as1858,89.04555
as1859,89.19679
as186,89.04968
as1860,89.83471
as1861,89.16493
as1862,89.2967
as1863,89.22581
as1864,89.2638
as1865,88.98947
as1866,89.28854
as1867,89.24843
as1868,89.52569
as1869,89.37916
as187,89.27565
as1870,89.82979
as1871,89.5171
as1872,89.18699
as1873,89.43775
as1874,89.28994
as1875,89.5614
as1876,89.38326
as1877,89.56522
as1878,89.49686
as1879,89.5935
as188,89.32203
as1880,89.42149
as1881,89.28429
as1882,89.39655
as1883,89.35223
as1884,89.25311
as1885,89.3456
as1886,89.53216
as1887,89.33747
as1888,89.66874
as1889,89.58763
as189,89.76331
as1890,89.68
as1891,89.56803
as1892,89.48387
as1893,89.57447
as1894,89.51515
as1895,88.91892
as1896,89.19679
as1897,89.58763
as1898,89.10569
as1899,89.42623
as19,89.56989
as190,89.53398
as1900,89.57265
as1901,89.67871
as1902,89.30097
as1903,89.83903
as1904,89.83158
as1905,89.40552
as1906,89.31915
as1907,89.13556
as1908,89.69112
as1909,89.35743
as191,89.25773
as1910,89.42623
as1911,89.44664
as1912,89.49896
as1913,89.74468
as1914,89.57356
as1915,89.44664
as1916,89.55157
as1917,89.21397
as1918,89.76424
as1919,89.20792
as192,89.58506
as1920,89.1453
as1921,90.0
as1922,89.49474
as1923,89.36937
as1924,89.58506
as1925,89.59184
as1926,88.7472
as1927,89.09651
as1928,89.38865
as1929,89.68191
as193,89.40043
as1930,89.22747
as1931,89.48718
as1932,89.36634
as1933,89.16859
as1934,89.55556
as1935,89.2562
as1936,89.36255
as1937,89.22246
as1938,89.37132
as1939,89.18699
as194,89.15789
as1940,89.25
as1941,89.53578
as1942,89.2016
as1943,89.19679
as1944,89.58159
as1945,89.58592
as1946,89.1984
as1947,89.2016
as1948,89.22929
as1949,89.66102
as195,89.53488
as1950,89.48387
as1951,89.52569
as1952,89.57447
as1953,89.37778
as1954,89.60784
as1955,89.53162
as1956,89.30736
as1957,89.32773
as1958,89.42387
as1959,88.98239
as196,89.83368
as1960,89.55752
as1961,89.36128
as1962,89.52569
as1963,89.34292
as1964,89.35872
as1965,89.57082
as1966,89.43089
as1967,89.46463
as1968,89.40426
as1969,89.413
as197,89.55457
as1970,89.46548
as1971,89.2389
as1972,89.43089
as1973,89.6063
as1974,88.96104
as1975,89.58159
as1976,89.38053
as1977,89.52849
as1978,89.65443
as1979,89.73094
as198,89.27126
as1980,89.57627
as1981,89.32914
as1982,89.67413
as1983,89.39262
as1984,89.66667
as1985,89.49045
as1986,89.47826
as1987,89.58678
as1988,89.69868
as1989,89.55556
as199,89.11469
as1990,89.53917
as1991,89.82456
as1992,89.05782
as1993,89.67611
as1994,89.41423
as1995,89.21875
as1996,89.67807
as1997,89.38998
as1998,89.56332
as1999,89.1984
as2,89.26978
as20,89.50413
as200,89.68317
as2000,89.35223
as2001,89.60239
as2002,89.5102
as2003,89.43205
as2004,89.49474
as2005,89.39394
as2006,89.34783
as2007,89.31915
as2008,89.41053
as2009,89.47598
as201,89.13215
as2010,89.43205
as2011,89.20635
as2012,89.76238
as2013,89.47598
as2014,89.45205
as2015,89.42268
as2016,89.36364
as2017,89.33054
as2018,89.08467
as2019,89.57806
as202,89.19101
as2020,89.5102
as2021,89.58592
as2022,89.13043
as2023,89.50413
as2024,89.16981
as2025,89.41909
as2026,89.34156
as2027,89.57265
as2028,89.12664
as2029,89.36255
as203,89.5842
as2030,89.12525
as2031,89.42857
as2032,89.39655
as2033,89.2389
as2034,89.32203
as2035,89.28251
as2036,89.52381
as2037,89.47137
as2038,89.32489
as2039,89.08333
as204,89.45525
as2040,89.82063
as2041,89.52191
as2042,88.93333
as2043,89.81859
as2044,89.13043
as2045,89.48718
as2046,89.74414
as2047,89.08333
as2048,89.65885
as2049,89.47939
as205,89.53668
as2050,89.4926
as2051,89.39785
